"Tau","Episode","d_Overall","d_Contemp","d_Lagged","Lagged_share_pct"
0.7,"GreatInflation (1960-82 in)",28.52,4.83,23.69,83.1
0.7,"COVID (2020-26 in)",-0.1,-4.49,4.4,-4533.3
0.9,"GreatInflation (1960-82 in)",14.39,-0.75,15.13,105.2
0.9,"COVID (2020-26 in)",12.23,3.57,8.66,70.8
