"Tau","Overall","Contemporaneous","Lagged"
0.1,5.548,2.797,2.75
0.3,7.475,2.672,4.804
0.5,11.808,4.658,7.15
0.7,19.698,7.078,12.619
0.9,35.216,11.898,23.319
