"post_tau","level_mm","level_ann","tau_matched","TCI","Wages_to_CPI_L","CPI_to_Wages_L"
0.7,0.329,4.03,0.618,14.66,7.21,7.41
0.9,0.51,6.3,0.785,22.1,13.17,13.28
