"Tau","Overall","Contemporaneous","Lagged"
0.1,13.832,8.926,4.906
0.3,16.319,8.834,7.485
0.5,25.975,14.38,11.595
0.7,41.836,22.719,19.117
0.9,79.916,40.94,38.976
