"Tau","Overall","Contemporaneous","Lagged"
0.1,16.917,8.318,8.6
0.3,17.608,6.772,10.836
0.5,27.742,10.661,17.081
0.7,55.675,21.59,34.085
0.9,86.778,33.836,52.941
