"Tau","Episode","d_Overall","d_Contemp","d_Lagged","Lagged_share_pct"
0.7,"GreatInflation (1967-82)",25.57,6.94,18.63,72.9
0.7,"COVID (2020-26)",-0.08,-0.42,0.34,-405.9
0.9,"GreatInflation (1967-82)",3.19,3.76,-0.57,-17.8
0.9,"COVID (2020-26)",-19.85,-4.98,-14.87,74.9
